Mean_square_weighted_deviation	[20130609,20130612,20130603,20130602,20130611,20130610,20130601,20130613,20130604,20130605,20130614,20130607,20130615,20130606,20130608]	[26,46,42,19,38,39,22,56,37,45,35,36,28,43,25]	537	49
Cross-in-square	[20130609,20130603,20130612,20130602,20130611,20130613,20130604,20130614,20130605,20130607,20130608,20130601,20130610,20130615,20130606]	[29,43,39,25,27,31,43,24,38,37,27,33,41,56,34]	527	21
Modern_Western_square_dance	[20130614,20130605,20130606,20130615,20130602,20130611,20130608,20130609,20130613,20130604,20130612,20130603,20130601,20130610,20130607]	[34,37,49,27,34,43,35,22,33,30,32,45,26,36,31]	514	10
Chi-squared_statistic	[20130606,20130615,20130614,20130605,20130607,20130609,20130610,20130601,20130603,20130612,20130613,20130604,20130611,20130602,20130608]	[42,19,47,41,36,16,40,21,54,47,37,37,37,22,16]	512	6
20th_anniversary_Tiananmen_square_incident_march	[20130609,20130610,20130601,20130607,20130608,20130615,20130606,20130614,20130605,20130612,20130603,20130604,20130613,20130611,20130602]	[219,178,4,9,14,22,4,5,6,2,8,9,4,9,7]	500	406
Bolotnaya_square_case	[20130607,20130608,20130609,20130612,20130603,20130602,20130611,20130610,20130601,20130613,20130604,20130615,20130606,20130605,20130614]	[104,15,26,49,18,21,29,26,18,29,22,12,82,20,28]	499	-71
Magic_squares	[20130603,20130612,20130608,20130604,20130613,20130606,20130615,20130609,20130607,20130605,20130614,20130610,20130601,20130602,20130611]	[30,35,44,38,28,45,21,28,36,26,35,24,20,40,44]	494	24
Minimum_mean-square_error	[20130609,20130608,20130614,20130605,20130607,20130606,20130615,20130602,20130611,20130612,20130603,20130604,20130613,20130601,20130610]	[19,26,23,41,31,40,14,25,48,43,35,44,37,28,39]	493	5
Four-square_cipher	[20130604,20130613,20130608,20130603,20130612,20130602,20130611,20130601,20130610,20130615,20130606,20130607,20130614,20130605,20130609]	[29,40,25,26,35,29,24,25,42,26,44,38,27,37,41]	488	32
Multimagic_square	[20130613,20130604,20130615,20130606,20130607,20130603,20130612,20130605,20130614,20130609,20130608,20130602,20130611,20130610,20130601]	[2,5,4,88,5,1,85,181,3,3,2,9,89,6,2]	485	-97
Aitken%27s_delta-squared_process	[20130609,20130612,20130603,20130608,20130607,20130606,20130615,20130614,20130605,20130601,20130610,20130602,20130611,20130613,20130604]	[24,34,47,20,22,42,21,33,36,17,38,16,46,30,41]	467	25
City_square	[20130615,20130606,20130611,20130602,20130603,20130612,20130610,20130601,20130614,20130605,20130608,20130607,20130609,20130613,20130604]	[31,26,28,19,19,119,29,12,28,17,27,25,19,35,32]	466	166
Pound-force_per_square_inch	[20130601,20130610,20130607,20130605,20130614,20130606,20130615,20130608,20130609,20130613,20130604,20130612,20130603,20130602,20130611]	[19,38,38,26,33,34,27,21,35,29,35,32,38,25,33]	463	33
