Jerry_Colonna_(entertainer)	[20130604,20130613,20130607,20130609,20130608,20130605,20130614,20130612,20130603,20130601,20130610,20130611,20130602,20130606,20130615]	[93,81,101,101,88,75,85,108,98,114,91,110,87,116,71]	1419	51
List_of_entertainers_who_have_performed_at_the_Mall_of_Asia	[20130604,20130613,20130603,20130612,20130602,20130611,20130614,20130605,20130608,20130609,20130610,20130601,20130607,20130615,20130606]	[97,86,113,86,116,85,91,85,76,73,78,112,99,84,95]	1376	-58
Thomas_McCarthy_(entertainer)	[20130607,20130614,20130605,20130606,20130615,20130603,20130612,20130604,20130613,20130602,20130611,20130609,20130601,20130610,20130608]	[81,90,83,69,134,90,94,69,102,80,110,110,73,83,90]	1358	268
Violetta_(entertainer)	[20130609,20130601,20130610,20130605,20130614,20130607,20130603,20130612,20130606,20130615,20130613,20130604,20130602,20130611,20130608]	[88,85,101,89,66,82,94,75,115,86,77,86,155,74,80]	1353	-59
Sam_Harris_(entertainer)	[20130614,20130605,20130613,20130604,20130610,20130601,20130611,20130602,20130603,20130612,20130608,20130607,20130615,20130606,20130609]	[65,88,80,182,78,90,73,123,99,60,67,88,53,87,76]	1309	-205
Karen_Dalton_(entertainer)	[20130601,20130610,20130609,20130608,20130607,20130615,20130606,20130603,20130612,20130602,20130611,20130604,20130613,20130605,20130614]	[95,109,91,82,97,76,76,86,82,87,96,63,95,70,78]	1283	135
Chris_Brown_(entertainer)	[20130615,20130606,20130609,20130612,20130603,20130608,20130614,20130605,20130604,20130613,20130611,20130602,20130601,20130610,20130607]	[45,134,71,57,83,98,86,67,57,108,86,59,102,84,98]	1235	35
Bill_Hayes_(entertainer)	[20130607,20130606,20130615,20130614,20130605,20130601,20130610,20130611,20130602,20130609,20130603,20130612,20130613,20130604,20130608]	[44,151,39,24,452,34,41,40,47,47,66,42,38,111,49]	1225	-585
Midori_(entertainer)	[20130606,20130615,20130610,20130601,20130608,20130611,20130602,20130612,20130603,20130613,20130604,20130605,20130614,20130609,20130607]	[57,72,72,72,82,86,81,117,86,78,66,72,93,75,80]	1189	161
Tony_Ward_(entertainer)	[20130609,20130610,20130601,20130607,20130602,20130611,20130608,20130606,20130615,20130614,20130605,20130612,20130603,20130604,20130613]	[83,94,81,93,79,79,85,70,97,78,66,69,62,73,79]	1188	140
Temptress_(entertainer)	[20130601,20130610,20130611,20130602,20130613,20130604,20130605,20130614,20130615,20130606,20130607,20130609,20130608,20130603,20130612]	[81,108,80,80,58,63,67,47,53,102,82,71,72,78,71]	1113	7
Thal%C3%ADa_(entertainer)	[20130612,20130603,20130602,20130611,20130609,20130608,20130610,20130601,20130606,20130615,20130607,20130604,20130613,20130605,20130614]	[84,80,67,95,60,76,56,64,80,65,109,61,60,81,72]	1110	26
Thomas_Miles_(entertainer)	[20130603,20130612,20130611,20130602,20130608,20130609,20130606,20130615,20130614,20130605,20130610,20130601,20130604,20130613,20130607]	[79,84,76,64,64,66,85,40,82,89,87,55,80,57,83]	1091	21
Nelly_(entertainer)	[20130611,20130602,20130601,20130610,20130613,20130604,20130609,20130614,20130605,20130612,20130603,20130615,20130606,20130608,20130607]	[81,69,59,78,58,77,58,55,73,62,92,65,87,59,54]	1027	5
Brandy_(entertainer)	[20130609,20130604,20130613,20130614,20130605,20130607,20130611,20130602,20130603,20130612,20130606,20130615,20130608,20130610,20130601]	[78,65,66,52,66,70,88,72,59,56,75,53,57,99,56]	1012	86
Madonna_%28entertainer%29	[20130601,20130610,20130609,20130602,20130611,20130607,20130614,20130605,20130606,20130615,20130613,20130604,20130608,20130603,20130612]	[61,27,103,55,128,74,49,48,41,66,57,59,143,51,47]	1009	231
List_of_Italian-American_entertainers	[20130604,20130613,20130602,20130611,20130608,20130605,20130614,20130615,20130606,20130603,20130612,20130607,20130609,20130610,20130601]	[65,44,51,73,67,82,44,86,49,50,61,43,67,76,44]	902	134
Typhoon_(entertainer)	[20130606,20130615,20130601,20130610,20130608,20130609,20130611,20130602,20130603,20130612,20130605,20130614,20130604,20130613,20130607]	[62,56,63,65,69,68,57,58,49,62,63,37,49,57,70]	885	57
Yuri_(South_Korean_entertainer)	[20130614,20130605,20130601,20130610,20130604,20130613,20130615,20130606,20130603,20130612,20130607,20130609,20130611,20130602,20130608]	[45,86,24,35,83,40,94,65,60,48,61,72,51,38,59]	861	27
Rita_Cadillac_(Brazilian_entertainer)	[20130609,20130607,20130614,20130605,20130604,20130613,20130615,20130606,20130612,20130603,20130602,20130611,20130608,20130601,20130610]	[42,45,49,57,61,91,76,39,59,41,60,65,65,52,58]	860	150
Saori_(South_Korean_entertainer)	[20130607,20130609,20130608,20130614,20130605,20130604,20130613,20130611,20130602,20130603,20130612,20130606,20130615,20130610,20130601]	[61,59,64,63,47,47,57,59,62,57,52,62,56,59,51]	856	82
List_of_Italian_American_entertainers	[20130603,20130612,20130602,20130611,20130609,20130610,20130601,20130614,20130605,20130615,20130606,20130607,20130608,20130613,20130604]	[52,61,64,72,43,59,76,79,59,43,35,54,50,41,49]	837	59
Leslie_Glass_(entertainer)	[20130609,20130601,20130610,20130608,20130606,20130615,20130614,20130605,20130604,20130613,20130611,20130602,20130603,20130612,20130607]	[63,44,62,61,56,53,49,61,62,44,52,53,62,51,48]	821	49
Vedette_(entertainer)	[20130611,20130602,20130614,20130605,20130609,20130615,20130606,20130607,20130603,20130612,20130613,20130604,20130610,20130601,20130608]	[78,60,57,52,43,47,47,47,57,62,68,49,54,46,52]	819	103
Arash_(entertainer)	[20130604,20130613,20130611,20130602,20130612,20130603,20130614,20130605,20130615,20130606,20130607,20130608,20130609,20130601,20130610]	[63,32,57,77,54,39,49,55,46,54,58,39,71,59,60]	813	3
John_Oliver_%28entertainer%29	[20130606,20130615,20130612,20130603,20130610,20130609,20130614,20130605,20130604,20130613,20130607,20130608,20130611]	[5,17,64,5,20,59,36,6,1,53,65,417,31]	779	615
Viper_(entertainer)	[20130604,20130613,20130615,20130606,20130603,20130612,20130601,20130610,20130607,20130605,20130614,20130608,20130609,20130611,20130602]	[46,41,58,63,55,43,43,48,43,43,65,34,62,50,45]	739	63
Peter_Marshall_(U.S._entertainer)	[20130601,20130610,20130609,20130604,20130613,20130608,20130607,20130603,20130612,20130602,20130611,20130615,20130606,20130605,20130614]	[53,34,48,36,45,45,48,59,37,63,53,38,35,35,46]	675	17
Gretchen_(entertainer)	[20130604,20130613,20130614,20130605,20130610,20130601,20130608,20130606,20130615,20130607,20130603,20130612,20130609,20130611,20130602]	[44,53,32,41,42,34,42,43,48,34,47,59,44,39,47]	649	69
Jessica_(entertainer)	[20130613,20130604,20130601,20130610,20130609,20130612,20130603,20130615,20130606,20130614,20130605,20130611,20130602,20130607,20130608]	[44,51,25,41,47,55,42,44,33,46,32,47,42,33,45]	627	111
Gil_(entertainer)	[20130601,20130610,20130606,20130615,20130607,20130608,20130604,20130613,20130603,20130612,20130614,20130605,20130611,20130602,20130609]	[26,33,69,39,37,27,28,68,28,30,38,28,35,21,98]	605	131
Iota_(entertainer)	[20130606,20130615,20130605,20130614,20130607,20130611,20130602,20130603,20130612,20130613,20130604,20130608,20130609,20130601,20130610]	[28,36,36,35,31,42,37,36,56,61,29,31,31,30,45]	564	110
Hibiscus_(entertainer)	[20130609,20130613,20130604,20130606,20130615,20130607,20130608,20130603,20130612,20130602,20130611,20130605,20130614,20130610,20130601]	[39,47,42,34,38,60,32,34,30,40,42,26,37,38,23]	562	44
Dagmar_(Puerto_Rico_entertainer)	[20130611,20130602,20130610,20130601,20130614,20130605,20130607,20130615,20130606,20130608,20130609,20130613,20130604,20130612,20130603]	[34,10,48,14,42,23,40,23,35,22,38,98,15,86,18]	546	236
Pallavi_(entertainer)	[20130609,20130605,20130614,20130603,20130612,20130615,20130606,20130604,20130613,20130602,20130611,20130608,20130601,20130610,20130607]	[37,46,30,39,36,46,41,39,40,26,35,26,24,31,37]	533	29
List_of_entertainers_who_have_lived_in_or_near_Chicago	[20130607,20130601,20130610,20130604,20130613,20130605,20130614,20130612,20130603,20130608,20130609,20130602,20130611,20130615,20130606]	[48,33,25,29,32,43,26,31,36,24,33,20,48,25,69]	522	-34
Tim_Maddren_(entertainer)	[20130613,20130604,20130610,20130601,20130612,20130603,20130602,20130611,20130605,20130614,20130607,20130615,20130606,20130609,20130608]	[34,28,46,50,29,52,20,25,34,31,25,27,30,51,24]	506	28
Jim_Bailey_(entertainer)	[20130606,20130615,20130603,20130612,20130601,20130610,20130614,20130605,20130607,20130608,20130611,20130602,20130613,20130604,20130609]	[41,24,38,38,29,36,32,14,30,25,42,42,38,30,38]	497	49
Logic_(entertainer)	[20130612,20130603,20130604,20130613,20130605,20130614,20130608,20130609,20130615,20130606,20130602,20130611,20130607,20130601,20130610]	[33,36,40,28,38,25,35,24,23,46,33,31,30,43,22]	487	-45
